epoch,metrics/h_mean,metrics/p_exp,metrics/p_opt,metrics/train_loss,metrics/val_loss,step
0,,,,0.08918945491313934,,0
0,,,,0.08594726771116257,,1
0,,,,0.08707031607627869,,2
0,,,,0.08161132782697678,,3
0,,,,0.05845703184604645,,4
0,,,,0.07232421636581421,,5
0,,,,0.07093749940395355,,6
0,,,,0.08229491859674454,,7
0,0.45112845301628113,0.3305920362472534,0.7099999785423279,,0.09569335728883743,7
1,,,,0.08258789032697678,,8
1,,,,0.06777343899011612,,9
1,,,,0.07545898109674454,,10
1,,,,0.06797851622104645,,11
1,,,,0.07432617247104645,,12
1,,,,0.06844726204872131,,13
1,,,,0.07037109136581421,,14
1,,,,0.07416991889476776,,15
1,0.4445512890815735,0.32154032588005066,0.7200000286102295,,0.10317382961511612,15
2,,,,0.07943359017372131,,16
2,,,,0.07559570670127869,,17
2,,,,0.06999023258686066,,18
2,,,,0.06821288913488388,,19
2,,,,0.06294921785593033,,20
2,,,,0.06756836175918579,,21
2,,,,0.07461914420127869,,22
2,,,,0.07404296845197678,,23
2,0.4520822763442993,0.32742756605148315,0.7300000190734863,,0.10607422143220901,23
3,,,,0.0678417980670929,,24
3,,,,0.07300781458616257,,25
3,,,,0.07011719048023224,,26
3,,,,0.08234374970197678,,27
3,,,,0.07468750327825546,,28
3,,,,0.07080078125,,29
3,,,,0.06452148407697678,,30
3,,,,0.06409179419279099,,31
3,0.4144151210784912,0.30641210079193115,0.6399999856948853,,0.10095702856779099,31
4,,,,0.06839843839406967,,32
4,,,,0.06553710997104645,,33
4,,,,0.06397461146116257,,34
4,,,,0.07773437350988388,,35
4,,,,0.07148437201976776,,36
4,,,,0.06928710639476776,,37
4,,,,0.06799804419279099,,38
4,,,,0.07021484524011612,,39
4,0.5038663744926453,0.38469773530960083,0.7300000190734863,,0.08952148258686066,39
5,,,,0.06635741889476776,,40
5,,,,0.07353515923023224,,41
5,,,,0.0691210925579071,,42
5,,,,0.0688183605670929,,43
5,,,,0.06703124940395355,,44
5,,,,0.07086914032697678,,45
5,,,,0.07267577946186066,,46
5,,,,0.06219726428389549,,47
5,0.490698903799057,0.39052310585975647,0.6600000262260437,,0.0820019543170929,47
6,,,,0.07901367545127869,,48
6,,,,0.06300780922174454,,49
6,,,,0.06937500089406967,,50
6,,,,0.07396484166383743,,51
6,,,,0.06796874850988388,,52
6,,,,0.06460937857627869,,53
6,,,,0.06623046845197678,,54
6,,,,0.06962890923023224,,55
6,0.5536611080169678,0.42331305146217346,0.800000011920929,,0.07637695223093033,55
7,,,,0.07170898467302322,,56
7,,,,0.07054687291383743,,57
7,,,,0.0732421875,,58
7,,,,0.06509765982627869,,59
7,,,,0.06349609047174454,,60
7,,,,0.06697265803813934,,61
7,,,,0.07671874761581421,,62
7,,,,0.0644238293170929,,63
7,0.5840451717376709,0.45989856123924255,0.800000011920929,,0.07826171815395355,63
8,,,,0.058134764432907104,,64
8,,,,0.07011719048023224,,65
8,,,,0.07526367157697678,,66
8,,,,0.07505859434604645,,67
8,,,,0.06508789211511612,,68
8,,,,0.06500976532697678,,69
8,,,,0.07311523705720901,,70
8,,,,0.06769531220197678,,71
8,0.534980297088623,0.4409429132938385,0.6800000071525574,,0.07615234702825546,71
9,,,,0.07154297083616257,,72
9,,,,0.07406249642372131,,73
9,,,,0.06696289032697678,,74
9,,,,0.07118164002895355,,75
9,,,,0.06525390595197678,,76
9,,,,0.05882812663912773,,77
9,,,,0.07301757484674454,,78
9,,,,0.07070312649011612,,79
9,0.5060195922851562,0.4142580032348633,0.6499999761581421,,0.07857421785593033,79
10,,,,0.06587890535593033,,80
10,,,,0.06297851353883743,,81
10,,,,0.07814452797174454,,82
10,,,,0.07230468839406967,,83
10,,,,0.07391601800918579,,84
10,,,,0.060820311307907104,,85
10,,,,0.06819336116313934,,86
10,,,,0.061767578125,,87
10,0.4996316432952881,0.4057638645172119,0.6499999761581421,,0.07671874761581421,87
11,,,,0.0776660144329071,,88
11,,,,0.07320312410593033,,89
11,,,,0.07651367038488388,,90
11,,,,0.05660156160593033,,91
11,,,,0.06533203274011612,,92
11,,,,0.06606445461511612,,93
11,,,,0.0639941394329071,,94
11,,,,0.05889648571610451,,95
11,0.5183426737785339,0.4355493187904358,0.6399999856948853,,0.07551757991313934,95
12,,,,0.07191406190395355,,96
12,,,,0.06168945133686066,,97
12,,,,0.06160156428813934,,98
12,,,,0.06361328065395355,,99
12,,,,0.06535156071186066,,100
12,,,,0.07848633080720901,,101
12,,,,0.07384765893220901,,102
12,,,,0.06879882514476776,,103
12,0.48460984230041504,0.389934778213501,0.6399999856948853,,0.07513672113418579,103
13,,,,0.06577148288488388,,104
13,,,,0.06482421606779099,,105
13,,,,0.07753906399011612,,106
13,,,,0.07051757723093033,,107
13,,,,0.06624999642372131,,108
13,,,,0.06661132723093033,,109
13,,,,0.061347655951976776,,110
13,,,,0.07204101234674454,,111
13,0.5358794927597046,0.4267498254776001,0.7200000286102295,,0.07886718958616257,111
14,,,,0.06733398139476776,,112
14,,,,0.065185546875,,113
14,,,,0.07134765386581421,,114
14,,,,0.06596679985523224,,115
14,,,,0.07183593511581421,,116
14,,,,0.06495117396116257,,117
14,,,,0.062080077826976776,,118
14,,,,0.06484375149011612,,119
14,0.4782920777797699,0.393359899520874,0.6100000143051147,,0.0774218738079071,119
15,,,,0.06412109732627869,,120
15,,,,0.06829101592302322,,121
15,,,,0.06463867425918579,,122
15,,,,0.07126953452825546,,123
15,,,,0.07325195521116257,,124
15,,,,0.07791992276906967,,125
15,,,,0.06006835773587227,,126
15,,,,0.06903320550918579,,127
15,0.5264617204666138,0.41167789697647095,0.7300000190734863,,0.07478515803813934,127
16,,,,0.05801757797598839,,128
16,,,,0.0673828125,,129
16,,,,0.07501953095197678,,130
16,,,,0.06962890923023224,,131
16,,,,0.07095703482627869,,132
16,,,,0.07115234434604645,,133
16,,,,0.06870117038488388,,134
16,,,,0.06317383050918579,,135
16,0.5521823763847351,0.47995463013648987,0.6499999761581421,,0.07346680015325546,135
17,,,,0.06209960952401161,,136
17,,,,0.06576171517372131,,137
17,,,,0.061835937201976776,,138
17,,,,0.07426758110523224,,139
17,,,,0.06519531458616257,,140
17,,,,0.07074218988418579,,141
17,,,,0.06647460907697678,,142
17,,,,0.07952148467302322,,143
17,0.5290458798408508,0.41814732551574707,0.7200000286102295,,0.07822265475988388,143
18,,,,0.0690625011920929,,144
18,,,,0.07310546934604645,,145
18,,,,0.06456054747104645,,146
18,,,,0.05921874940395355,,147
18,,,,0.06652344018220901,,148
18,,,,0.07241211086511612,,149
18,,,,0.06642577797174454,,150
18,,,,0.06655273586511612,,151
18,0.5428364872932434,0.46099963784217834,0.6600000262260437,,0.07323241978883743,151
19,,,,0.08069335669279099,,152
19,,,,0.0656445324420929,,153
19,,,,0.07541992515325546,,154
19,,,,0.06029297038912773,,155
19,,,,0.05904296785593033,,156
19,,,,0.07461914420127869,,157
19,,,,0.06371093541383743,,158
19,,,,0.056669920682907104,,159
19,0.5146557092666626,0.44508758187294006,0.6100000143051147,,0.07723632454872131,159
20,,,,0.07152343541383743,,160
20,,,,0.06849609315395355,,161
20,,,,0.06233398616313934,,162
20,,,,0.06869140267372131,,163
20,,,,0.06460937857627869,,164
20,,,,0.07329101860523224,,165
20,,,,0.06851562857627869,,166
20,,,,0.06657226383686066,,167
20,0.5060888528823853,0.4430738389492035,0.5899999737739563,,0.07677734643220901,167
21,,,,0.06950195133686066,,168
21,,,,0.07653320580720901,,169
21,,,,0.07499023526906967,,170
21,,,,0.06197265535593033,,171
21,,,,0.06669922173023224,,172
21,,,,0.06511718779802322,,173
21,,,,0.06826172024011612,,174
21,,,,0.06374023109674454,,175
21,0.5173711776733398,0.4006677567958832,0.7300000190734863,,0.07735351473093033,175
22,,,,0.07120117545127869,,176
22,,,,0.07901367545127869,,177
22,,,,0.07722656428813934,,178
22,,,,0.06916992366313934,,179
22,,,,0.06980469077825546,,180
22,,,,0.05790039151906967,,181
22,,,,0.059111326932907104,,182
22,,,,0.06297851353883743,,183
22,0.48367050290107727,0.378428190946579,0.6700000166893005,,0.07625976204872131,183
23,,,,0.06920898705720901,,184
23,,,,0.06968750059604645,,185
23,,,,0.07075195014476776,,186
23,,,,0.05900390446186066,,187
23,,,,0.07020507752895355,,188
23,,,,0.06391601264476776,,189
23,,,,0.07271484285593033,,190
23,,,,0.062275391072034836,,191
23,0.530067503452301,0.4069482684135437,0.7599999904632568,,0.07904297113418579,191
24,,,,0.07252929359674454,,192
24,,,,0.06704101711511612,,193
24,,,,0.06246093660593033,,194
24,,,,0.071533203125,,195
24,,,,0.06389648467302322,,196
24,,,,0.06740234047174454,,197
24,,,,0.07505859434604645,,198
24,,,,0.058525390923023224,,199
24,0.5621858835220337,0.43635356426239014,0.7900000214576721,,0.07386718690395355,199
25,,,,0.06603515893220901,,200
25,,,,0.06879882514476776,,201
25,,,,0.06269530951976776,,202
25,,,,0.07121093571186066,,203
25,,,,0.064208984375,,204
25,,,,0.06144531071186066,,205
25,,,,0.06886718422174454,,206
25,,,,0.06995116919279099,,207
25,0.5142927765846252,0.439380407333374,0.6200000047683716,,0.07749023288488388,207
26,,,,0.07060547173023224,,208
26,,,,0.07054687291383743,,209
26,,,,0.06579101830720901,,210
26,,,,0.06720703095197678,,211
26,,,,0.07208984345197678,,212
26,,,,0.06683593988418579,,213
26,,,,0.06737304478883743,,214
26,,,,0.06374023109674454,,215
26,0.554070234298706,0.4828144311904907,0.6499999761581421,,0.08150390535593033,215
27,,,,0.06772460788488388,,216
27,,,,0.05716796964406967,,217
27,,,,0.07933593541383743,,218
27,,,,0.06610351800918579,,219
27,,,,0.06805664300918579,,220
27,,,,0.05601562559604645,,221
27,,,,0.07430663704872131,,222
27,,,,0.0700390636920929,,223
27,0.5245800018310547,0.4352704584598541,0.6600000262260437,,0.08080077916383743,223
28,,,,0.0715039074420929,,224
28,,,,0.06753906607627869,,225
28,,,,0.06512695550918579,,226
28,,,,0.07915039360523224,,227
28,,,,0.067626953125,,228
28,,,,0.05801757797598839,,229
28,,,,0.06655273586511612,,230
28,,,,0.06224609538912773,,231
28,0.526687502861023,0.4381801187992096,0.6600000262260437,,0.07665038853883743,231
29,,,,0.07135742157697678,,232
29,,,,0.07216797024011612,,233
29,,,,0.057988282293081284,,234
29,,,,0.07057616859674454,,235
29,,,,0.06950195133686066,,236
29,,,,0.06288085877895355,,237
29,,,,0.06787109375,,238
29,,,,0.06138671934604645,,239
29,0.5275267362594604,0.4309065639972687,0.6800000071525574,,0.07880859076976776,239
30,,,,0.07129883021116257,,240
30,,,,0.06043945252895355,,241
30,,,,0.070068359375,,242
30,,,,0.06192382797598839,,243
30,,,,0.05249999836087227,,244
30,,,,0.07451172173023224,,245
30,,,,0.07548828423023224,,246
30,,,,0.06934570521116257,,247
30,0.5496347546577454,0.4761182367801666,0.6499999761581421,,0.07916992157697678,247
31,,,,0.0702832043170929,,248
31,,,,0.06911132484674454,,249
31,,,,0.06214843690395355,,250
31,,,,0.06317383050918579,,251
31,,,,0.06922851502895355,,252
31,,,,0.06536132842302322,,253
31,,,,0.06758788973093033,,254
31,,,,0.07086914032697678,,255
31,0.5170226693153381,0.4209170639514923,0.6700000166893005,,0.07726562768220901,255
32,,,,0.06888671964406967,,256
32,,,,0.06569335609674454,,257
32,,,,0.06265625357627869,,258
32,,,,0.07113280892372131,,259
32,,,,0.07414062321186066,,260
32,,,,0.06574218720197678,,261
32,,,,0.05776367336511612,,262
32,,,,0.07437500357627869,,263
32,0.5140541791915894,0.4390321969985962,0.6200000047683716,,0.08292968571186066,263
33,,,,0.0737011730670929,,264
33,,,,0.07360351830720901,,265
33,,,,0.06302734464406967,,266
33,,,,0.07159179449081421,,267
33,,,,0.05946289002895355,,268
33,,,,0.07773437350988388,,269
33,,,,0.05958007648587227,,270
33,,,,0.060722656548023224,,271
33,0.5233709812164307,0.41110098361968994,0.7200000286102295,,0.08087890595197678,271
34,,,,0.06926757842302322,,272
34,,,,0.07146484404802322,,273
34,,,,0.06639648228883743,,274
34,,,,0.07411132752895355,,275
34,,,,0.06757812201976776,,276
34,,,,0.05619140714406967,,277
34,,,,0.06666015833616257,,278
34,,,,0.06167968735098839,,279
34,0.5547819137573242,0.4512368142604828,0.7200000286102295,,0.07740234583616257,279
35,,,,0.06605468690395355,,280
35,,,,0.059326171875,,281
35,,,,0.06781250238418579,,282
35,,,,0.06677734106779099,,283
35,,,,0.06310547143220901,,284
35,,,,0.05943359434604645,,285
35,,,,0.07075195014476776,,286
35,,,,0.07054687291383743,,287
35,0.5437098741531372,0.4486001133918762,0.6899999976158142,,0.08121094107627869,287
36,,,,0.06724609434604645,,288
36,,,,0.07301757484674454,,289
36,,,,0.06095702946186066,,290
36,,,,0.06971679627895355,,291
36,,,,0.06308593600988388,,292
36,,,,0.06384765356779099,,293
36,,,,0.06774414330720901,,294
36,,,,0.07067383080720901,,295
36,0.582316517829895,0.45775848627090454,0.800000011920929,,0.07291015982627869,295
37,,,,0.06486327946186066,,296
37,,,,0.07850585877895355,,297
37,,,,0.07046875357627869,,298
37,,,,0.07391601800918579,,299
37,,,,0.061650391668081284,,300
37,,,,0.06517577916383743,,301
37,,,,0.06931640952825546,,302
37,,,,0.06416992098093033,,303
37,0.5007900595664978,0.389845609664917,0.699999988079071,,0.08294922113418579,303
38,,,,0.06089843809604645,,304
38,,,,0.06244140490889549,,305
38,,,,0.06796874850988388,,306
38,,,,0.06851562857627869,,307
38,,,,0.07483398169279099,,308
38,,,,0.06810546666383743,,309
38,,,,0.06610351800918579,,310
38,,,,0.05793945491313934,,311
38,0.5445530414581299,0.4242776036262512,0.7599999904632568,,0.07905273139476776,311
39,,,,0.07081054896116257,,312
39,,,,0.06526367366313934,,313
39,,,,0.06757812201976776,,314
39,,,,0.07110351324081421,,315
39,,,,0.06688476353883743,,316
39,,,,0.07848633080720901,,317
39,,,,0.06478515267372131,,318
39,,,,0.053740233182907104,,319
39,0.530113160610199,0.409929096698761,0.75,,0.08026367425918579,319
40,,,,0.06352539360523224,,320
40,,,,0.05699218809604645,,321
40,,,,0.06447265297174454,,322
40,,,,0.06968750059604645,,323
40,,,,0.06516601890325546,,324
40,,,,0.06386718899011612,,325
40,,,,0.064697265625,,326
40,,,,0.07993163913488388,,327
40,0.579618513584137,0.457724004983902,0.7900000214576721,,0.08090820163488388,327
41,,,,0.07279296964406967,,328
41,,,,0.06374023109674454,,329
41,,,,0.06529296934604645,,330
41,,,,0.056904297322034836,,331
41,,,,0.06214843690395355,,332
41,,,,0.059013672173023224,,333
41,,,,0.07577148079872131,,334
41,,,,0.07332031428813934,,335
41,0.5191164612770081,0.41607293486595154,0.6899999976158142,,0.07709960639476776,335
42,,,,0.07062499970197678,,336
42,,,,0.06783203035593033,,337
42,,,,0.06945312768220901,,338
42,,,,0.06241210922598839,,339
42,,,,0.06554687768220901,,340
42,,,,0.06739258021116257,,341
42,,,,0.06910156458616257,,342
42,,,,0.06153320148587227,,343
42,0.5280345678329468,0.4494117498397827,0.6399999856948853,,0.07723632454872131,343
43,,,,0.059355467557907104,,344
43,,,,0.06826172024011612,,345
43,,,,0.06284179538488388,,346
43,,,,0.07526367157697678,,347
43,,,,0.06547851860523224,,348
43,,,,0.06728515774011612,,349
43,,,,0.06332030892372131,,350
43,,,,0.07195312529802322,,351
43,0.5372624397277832,0.4484228491783142,0.6700000166893005,,0.07875976711511612,351
44,,,,0.0732714831829071,,352
44,,,,0.06717773526906967,,353
44,,,,0.06337890774011612,,354
44,,,,0.06983398646116257,,355
44,,,,0.06241210922598839,,356
44,,,,0.06550781428813934,,357
44,,,,0.06530273705720901,,358
44,,,,0.07433594018220901,,359
44,0.524291455745697,0.42276203632354736,0.6899999976158142,,0.08548828214406967,359
45,,,,0.07177734375,,360
45,,,,0.06800781190395355,,361
45,,,,0.07122070342302322,,362
45,,,,0.06391601264476776,,363
45,,,,0.06872070580720901,,364
45,,,,0.07062499970197678,,365
45,,,,0.06506835669279099,,366
45,,,,0.07138671725988388,,367
45,0.5741345882415771,0.5141276717185974,0.6499999761581421,,0.07382812350988388,367
46,,,,0.07355468720197678,,368
46,,,,0.060566406697034836,,369
46,,,,0.06147461012005806,,370
46,,,,0.06412109732627869,,371
46,,,,0.06384765356779099,,372
46,,,,0.06916015595197678,,373
46,,,,0.06656250357627869,,374
46,,,,0.06928710639476776,,375
46,0.5105125308036804,0.4203146696090698,0.6499999761581421,,0.08392578363418579,375
47,,,,0.06416992098093033,,376
47,,,,0.06717773526906967,,377
47,,,,0.07414062321186066,,378
47,,,,0.06789062172174454,,379
47,,,,0.06098632887005806,,380
47,,,,0.06591796875,,381
47,,,,0.06460937857627869,,382
47,,,,0.07510742545127869,,383
47,0.5000041127204895,0.39205050468444824,0.6899999976158142,,0.08402343839406967,383
48,,,,0.06467773765325546,,384
48,,,,0.058564454317092896,,385
48,,,,0.07342773675918579,,386
48,,,,0.08009765297174454,,387
48,,,,0.06760742515325546,,388
48,,,,0.0725390613079071,,389
48,,,,0.06685546785593033,,390
48,,,,0.0724804699420929,,391
48,0.5052075386047363,0.42628180980682373,0.6200000047683716,,0.07866211235523224,391
49,,,,0.06673827767372131,,392
49,,,,0.06530273705720901,,393
49,,,,0.06311523169279099,,394
49,,,,0.07236327975988388,,395
49,,,,0.07091797143220901,,396
49,,,,0.076171875,,397
49,,,,0.06553710997104645,,398
49,,,,0.06529296934604645,,399
49,0.5770894289016724,0.4545775353908539,0.7900000214576721,,0.08113281428813934,399
